Name,Type,AI_Governance_Fit,Check_Size,Thesis,Portfolio,Relevant_Connections,Red_Flags,Recent_News,Sources,Outreach_Subject,Outreach_Body,Call_To_Action
Demis Hassabis,angel,medium,"Personal angel checks likely low millions; founder/strategic roles in nine-figure rounds (e.g., $600M+ Isomorphic Labs, Forward Series E).","Invests in and builds transformative AI platforms and companies, particularly those with potential for large-scale impact in high tech, enterprise, and scientific/healthcare applications.",Inflection; Forward; Graphcore; Isomorphic Labs,AI founders; Alphabet/Google leadership; UK and US high-tech/AI ecosystem,Limited indication of direct funding for governance/safety-first AI startups.; Likely prioritizes core AI platform/science versus applied governance.; Significant responsibilities as founder/CEO may limit angel bandwidth.,"Led $600M raise for Isomorphic Labs (2025), focusing on AI drug design.; Ongoing DeepMind/UK government collaborations in science and AI (2025).",https://tracxn.com/d/people/demis-hassabis/__ru7jmU1kxOgOHwzqFmQmy860aG5qguWvjhbuQct-e28; https://news.crunchbase.com/venture/alphabet-backed-isomorphic-google-ai-drug-development/; https://www.bioindustry.org/resource/isomorphic-labs-announces-600-million-funding-to-further-develop-its-next-generation-ai-drug-design-engine.html; https://www.cbinsights.com/investor/demis-hassabis; https://quantumzeitgeist.com/google-deepmind-ai-partnership/; https://www.cnbc.com/2025/12/11/googles-ai-unit-deepmind-announces-uk-automated-research-lab.html,Seeking Advice: Introduction for Runcible’s Governance AI Fundraise,"Dear Demis Hassabis,  I'm reaching out because I'm leading Runcible, which is building 'The Governance Layer for AI.' We’re addressing a critical need: ensuring truth-constrained, auditable, and ethical AI for high-stakes use in finance, healthcare, defense, and government—built on cutting-edge science of decidability from the Natural Law Institute.  We are currently raising $20-30M to bring this mission to scale. Given your leadership at the intersection of AI and impact, I’d greatly value your perspective—specifically, if you know someone in your network whose expertise, values, or strategic interests align and who might be interested in partnering or supporting our raise.  I deeply appreciate your time and any guidance you could share. ",Would you be willing to suggest who in your network might be the best person to connect with about our raise?
EQT,vc,high,"~$20M to $500M+ (typical venture/growth checks, recent $500M+ leading round)","EQT is a global venture and growth equity investor with a focus on technology-driven companies across enterprise, AI, and SaaS. Their investment strategy emphasizes advancing transformative tech platforms, combining strong operational expertise, and a thematic focus on responsible scaling and AI/Human collaboration.",ReliaQuest (AI-powered security operations); Qevlar AI,ReliaQuest leadership; Qevlar AI founding team; EQT Ventures partners (see EQT Ventures site),,"Led $500M+ funding round in ReliaQuest (AI-powered security operations) (Mar 2025); Exits Kodiak Gas Services, realigning portfolio (Dec 2025)",https://eqtgroup.com/news/eqt-leads-funding-round-exceeding-usd-500-million-in-reliaquest-a-leader-in-ai-powered-security-operations-2025-03-31; https://stories.eqtventures.com/articles/eqt-ventures-is-open-for-business; https://eqtgroup.com/about/current-portfolio/qevlar-ai; https://eqtgroup.com/about/motherbrain; https://eqtgroup.com/about/current-portfolio; https://eqtgroup.com/en/news,Introducing Runcible: Building the Governance Layer for Ethical AI in High-Stakes Environments,"Hello EQT Team,  I'm reaching out to share Runcible’s vision: establishing the governance layer for AI, with a focus on trust, auditability, and ethics—especially for high-stakes domains such as finance, healthcare, defense, and government.  Regulatory and market awareness around trustworthy AI has never been higher. Our founding team includes leading scientists from the Natural Law Institute and world-class operators with deep expertise in both AI and regulated industries, uniquely positioning us to lead this category-defining shift.  With strong early customer interest and proprietary science addressing the fundamental challenge of decidability, Runcible is seeing accelerating momentum. We are currently raising a $20–30M Series A to fuel our growth and build a best-in-class leadership bench.  I'd value the opportunity to discuss how Runcible’s approach aligns with EQT’s focus on transformative platforms at the right market inflection point.",Would you be open to a brief call next week to explore fit?
EY Foundry,strategic,high,Undisclosed; likely seed/early-stage (typical for corporate accelerators),"EY Foundry is the corporate venturing and accelerator arm of EY, focusing on startups innovating in services of tomorrow, enterprise transformation, sustainability, and people/wellness sectors. They leverage EY's expertise to back technologies that build trust, enable auditable change, and drive growth across strategic industries.",,"Eric Minuskin (EY, Associate Director Global Media Relations)",Likely preference for early-stage/seed programs and pilot partnerships vs. major lead checks; Possible corporate/bureaucratic processes may slow decision cycles; Portfolio and check size transparency is low,"EY launching EY.ai Agentic Platform with NVIDIA to drive multi-sector transformation (finance, risk, tax, etc); EY invested in/influences global GenAI VC trends: $87B invested in 2025 driven by sovereign wealth funds",https://ey.com/en_us/ey-foundry-corporate-venturing-group; https://www.cbinsights.com/investor/ey-foundry; https://pitchbook.com/profiles/investor/539278-57; https://www.ey.com/en_ie/newsroom/2025/12/global-genai-vc-investment-reaches-record-87-billion-in-2025-as-sovereign-wealth-funds-drive-strategic-growth-ey; https://www.ey.com/en_us/newsroom/2025/03/ey-launching-ey-ai-agentic-platform-created-with-nvidia-ai-to-drive-multi-sector-transformation-starting-with-tax-risk-and-finance-domains; https://www.ey.com/en_ch/insights/workforce/ey-skills-foundry-ai-powered-workforce-solutions,Exploring a Strategic Partnership: EY Foundry & Runcible—The Governance Layer for AI,"Dear EY Foundry Team,  I’m reaching out to introduce Runcible, the governance layer for AI, purpose-built to ensure truth-constrained, auditable, and ethical AI in high-stakes domains such as finance, healthcare, defense, and government.  As organizations seek trustworthy AI for mission-critical functions, the demand for rigorous governance has never been greater. Runcible, grounded in the Natural Law Institute’s science of decidability, offers a robust foundation for responsible adoption and oversight of advanced AI systems.  We believe that a strategic partnership between EY Foundry and Runcible could create outsized value—combining your platform’s industry reach and expertise with Runcible’s governance technology to accelerate safe, ethical AI adoption across key sectors.  We’re currently raising a $20–30M round to scale our offering and would welcome an opportunity to discuss how we can collaborate for mutual impact.",Would you be open to an introductory conversation about potential partnership opportunities?
Elad Gil,angel,medium,$1M-$20M+; sometimes leads much larger rounds for select companies (e.g. $300M for Eon),"Invests as a super-angel in transformational technology companies, with a strong focus on AI, health, and enterprise software. Seeks outsized founders, winner-take-most markets, and companies poised for rapid market dominance. Frequently participates in large later-stage rounds as well as early.",Stripe; Airbnb; Coinbase; Pinterest; OpenAI; Eon.ai,"Founders/execs at Stripe, Airbnb, OpenAI (if in network); Other super-angels (NFX, Signal resources); Recent portfolio company founders (Eon, AI/enterprise startups)",Hands-off style post-investment (industry commentary); not AI governance/safety specialist,"Led $300M Series D for Eon (enterprise AI storage) in Dec 2025; Investing in health AI as of Jan 2025; Commentary on AI markets, scale, and market structure (TechCrunch, Nov 2025)",https://pitchbook.com/profiles/investor/106041-70; https://signal.nfx.com/investors/elad-gil; https://www.theinformation.com/articles/elad-gils-latest-ai-bet-is-in-health; https://techcrunch.com/2025/11/03/elad-gil-on-which-ai-markets-have-winners-and-which-are-still-wide-open/; https://www.eon.io/news-and-events/series-d-funding; https://www.calcalistech.com/ctechnews/article/ryelst2wwe,Building the Governance Layer for AI: Runcible Angel Opportunity,"Hi Elad Gil,  I'm reaching out because at Runcible, we're tackling what I believe is one of the defining challenges of our era: establishing an unshakable layer of governance for AI in the highest-stakes domains—finance, healthcare, defense, and government.  We believe AI must be truth-constrained, auditable, and centered on ethical principles, especially as its influence deepens. Our platform draws on cutting-edge science from the Natural Law Institute to ensure real-world, high-impact AI systems remain both accountable and decidable.  My conviction comes from seeing how quickly AI is moving into arenas where the cost of getting things wrong is dramatically high. I know you care deeply about mission-driven, high-agency teams at the early stage. We're currently raising $20-30M and are looking for angel partners who see both the urgency and the opportunity to set a new standard for AI governance from day one.  Would you be open to a short call to discuss this further? I’d value your perspective immensely. ",Would you be open to a short call to discuss this further?
Entrepreneur First,vc,medium,Pre-seed/seed: typically $100k-$250k at company formation; follow-on possible up to $2M. Portfolio companies routinely raise $10M-$30M+ with EF participation (see Spore.Bio $23M Series A).,"Entrepreneur First (EF) backs exceptional technical talent pre-company, helping individuals find co-founders and build globally ambitious startups from scratch. They focus on deep-tech, AI, and high-potential founders, aiming to create valuable companies by providing talent investing, networking, and initial capital. Not just standard seed/early-stage: their specialty is investing at 'talent' stage before a company exists, then supporting through formation and scale.",Tractable; Cleo; Accurx; PolyAI; Aztec; Genie AI; Spore.Bio; Iterate AI; Nivoda; Sonant,"Matt Clifford (co-founder, AI expert, public figure in AI/executive councils); Network includes top investors/founders from AI and enterprise (Anthropic, Khosla, Stripe, LinkedIn).","May not lead late-stage ($20-30M) rounds; strongest at company creation or seed/Series A.; Portfolio is high-risk, with many small bets. EF is not specifically an AI governance/safety-only investor.",Portfolio company Spore.Bio raised $23M Series A for ML microbiology (Feb 2025); Entrepreneur First approaches £1bn valuation and is fundraising itself (Nov 2025),https://www.joinef.com/posts/2025-q1-portfolio-news/; https://www.joinef.com/portfolio/; https://www.joinef.com/companies/genie-ai/; https://news.sky.com/story/ex-starmer-advisers-start-ups-backer-nears-1bn-valuation-13464379; https://www.joinef.com/insights/,Introducing Runcible: Empowering Ethical AI Governance – Series A Opportunity,"Dear Entrepreneur First Team,  AI is moving into high-stakes domains where trust, auditability, and ethical guarantees are non-negotiable. Yet, today’s market lacks an end-to-end governance layer ensuring AI systems remain truth-constrained and fully auditable. This is the gap Runcible addresses: ""The Governance Layer for AI,"" built on Natural Law Institute science for real-world decidability.  Timing is critical. With regulation accelerating and high-profile incidents underscoring the need for robust oversight across finance, healthcare, and government, customers are actively searching for solutions like ours. Our core team combines deep AI technical expertise with decades of experience shipping secure systems for regulated environments, and our growth trajectory is accelerating as we land lighthouse enterprise and public sector customers.  We’re now raising a $20-30M Series A to scale GTM and expand our engineering footprint. I believe there’s strong alignment with Entrepreneur First's bold vision for transformative market leaders, and I’d love to discuss how Runcible might fit your thesis. ",Are you available for a quick call next week to explore whether this could be a strong fit for Entrepreneur First’s Series A portfolio?
European Investment Fund,vc,medium,€30M–€260M+ as anchor LP; indirect portfolio company checks likely range €5–50M via partnered funds,"EIF invests in innovative European technology and infrastructure ventures, acting as a fund-of-funds or co-investor, with a mandate to support tech, growth, and impact across the EU. They focus on enabling access to capital for strategic sectors, including AI, fintech, and sustainability, usually as an anchor investor in large institutional rounds.",Indico Capital Partners; Jolt Capital; Vesper Next Generation Infrastructure Fund,"Warm intro via portfolio VCs (e.g., Indico Capital Partners, Jolt Capital), or European VC network; Contact through EIF institutional outreach (https://www.eif.org/generic/contacts/index.htm)",EIF typically does not invest directly into startups but via funds; exceptions via co-investment programs exist but are selective.; Slow institutional processes; funding is often indirect.,"€30M commitment to Indico Capital Partners VC Fund for southern European tech innovation (2025); €260M anchor investment in Jolt Capital V to support scaling European tech (2025); €75M into Vesper Next Generation Infrastructure Fund (2025), focus on sustainable/infra tech",https://www.eif.org/InvestEU/news/2025/european-investment-fund-commits-eur30m-to-indico-capital-partners-new-eur125m-vc-fund-to-drive-tech-innovation-in-portugal-spain-and-italy.htm; https://www.eif.org/what_we_do/news/2025/european-investment-fund-invests-eur260-million-in-jolt-capital-v-as-anchor-investor-with-support-from-the-european-tech-champions-initiative.htm; https://www.eif.org/InvestEU/news/2025/eif-commits-eur75-million-to-vesper-next-generation-infrastructure-fund-i-to-support-sustainable-infrastructure-investments-across-europe-under-investeu.htm; https://www.eif.org/what_we_do/equity/ai-co-investment-facility/index.htm,Introducing Runcible: The Governance Layer for AI – Series A Opportunity,"Dear European Investment Fund Team,  Rapid developments in AI have outpaced the creation of robust governance safeguards, especially in high-stakes sectors like finance, healthcare, defense, and government. Runcible addresses this urgent market need with a truth-constrained, auditable, and ethical AI platform, ensuring reliability and accountability where it matter most.  Our founding team combines deep expertise in decision science and machine learning, leveraging Natural Law Institute science of decidability at the core of our platform. Since launch, we've seen increasing inbound demand and strong growth, reflecting the market's readiness for enterprise AI governance solutions.  We are currently raising $20-30M to accelerate customer deployments and market expansion.  Thank you for considering this opportunity. I would welcome the chance to share our progress and discuss potential partnership.",Would you be available for a brief introductory call in the coming weeks to explore Runcible’s Series A?
Founders Fund,vc,medium,"$10M-$100M+ (multi-stage, sometimes lead; known for very large checks in select cases)","Founders Fund is a prominent venture capital firm known for backing bold entrepreneurs building transformative, 'frontier' technologies. Their thesis prioritizes high-impact, high-ambition sectors, especially those with nation-state scale. In the GenAI era, Founders Fund invests heavily in defense/dual-use AI, compute efficiency (hardware breakthroughs), and agentic software. They have a strong appetite for risk and disruptive potential, rather than only incremental innovation.",SpaceX; Palantir; Facebook; Anduril; DeepMind; OpenAI,"Peter Thiel (co-founder, managing partner); Brian Singerman; PayPal Mafia connections","Defense/dual-use-heavy thesis may not prioritize 'ethical/safe' AI by default.; Firm reputation for contrarian, aggressive bets could present philosophical alignment risk for a company whose brand centers on governance/ethics.","Per PitchBook, Founders Fund has raised the most capital of any VC so far in 2025, reflecting exceptional fundraising and firepower.; Continuing to back defense/AI/compute infra, including novel agentic software and dual-use applications.; Recently backed a startup bringing AI to skilled trades (plumbers, roofers) per Bloomberg.",https://pitchbook.com/news/articles/us-venture-capital-firm-concentration-first-half-2025-founders-fund; https://feedtheai.com/founders-fund-portfolio-ai-startups-backed-by-peter-thiels-firm/; https://foundersfund.com/portfolio/; https://bloomberg.com/news/articles/2025-11-13/founders-fund-backs-startup-bringing-ai-to-plumbers-and-roofers,Transforming AI Governance: Series A Opportunity with Runcible,"Hi Founders Fund Team,  I’m reaching out to introduce Runcible, where we’re building the governance layer for AI—enabling truth-constrained, auditable, and ethical artificial intelligence for high-stakes sectors like finance, healthcare, defense, and government.  Recent advances have accelerated AI’s adoption in domains where trust and compliance are mission-critical, but robust governance infrastructure is missing. Our team, drawing on Natural Law Institute science of decidability, is uniquely positioned to set the standard for responsible AI oversight at scale.  We’ve seen strong early growth and are raising a $20–30M Series A to capitalize on urgent market needs and regulatory tailwinds. The timing for shaping foundational AI governance is now, and we believe our team and approach can lead the category.  Would you have 30 minutes in the coming weeks to discuss how Runcible could partner with Founders Fund to build enduring value in this pivotal space? ",Let us know a time that works for you or if there’s someone specific we should connect with on your team.
GGV Capital,vc,medium,$5M - $30M+,"GGV Capital was a global venture capital firm investing across early to growth stages, with a focus on enterprise technology, AI, consumer internet, and frontier markets. They sought to back category leaders and transformative technology companies.",Airbnb; Slack; Opendoor; HashiCorp; Wish; Square; Aliyun (Alibaba Cloud); Xpeng; Zendesk,"Jenny Lee (Managing Partner); Hans Tung (Managing Partner); Glenn Solomon (Managing Partner); Potential intro via founders at Airbnb, Slack, or HashiCorp","As of March 2024, GGV Capital split into successor firms (Granite Asia, etc.); original entity defunct. May affect new investment activity.; Uncertainty on U.S.-China cross-border investments due to regulatory/political factors.","March 2024: GGV Capital split into Granite Asia and another entity; original GGV Capital is defunct. (Wikipedia); Granite (GGV's successor) and INA plan $1.2B investment in Indonesian tech. (Economic Times, Apr 2025)",https://en.wikipedia.org/wiki/GGV_Capital; https://www.ggvc.com/; https://economictimes.indiatimes.com/topic/ggv; https://www.4degrees.ai/blog/top-venture-capital-firms-in-2025; https://tracxn.com/d/venture-capital/ggv-capital/__sJu8GpkxYr3USQN_K9cp9NZNwYXTDiefHCvKrFLW700,Introducing Runcible: The Governance Layer for Ethical AI – Series A Opportunity,"Hi GGV Capital Team,  With the rapid adoption of AI in high-stakes sectors, ensuring trust, auditability, and ethical integrity is now mission-critical. At Runcible, we are building 'The Governance Layer for AI' – a truth-constrained, auditable platform for ethical AI, directly addressing the growing demand from finance, healthcare, defense, and government.  Our founding team combines deep technical expertise with pioneering governance science from the Natural Law Institute. This strong foundation, coupled with traction across multiple verticals, positions us to lead this emerging market at precisely the moment it’s needed most.  We are raising a $20-30M Series A to accelerate our growth. I believe Runcible’s approach and timing are well aligned with GGV’s thesis around foundational shifts in technology and governance. ","Are you available for a 30-minute call to discuss how Runcible is enabling safe and ethical AI adoption, and how GGV and Runcible could partner at this pivotal inflection point?"
GV (Google Ventures),vc,high,$5M–50M+ (recent: $35M Series B in Metaview),"GV (Google Ventures) is the venture capital arm of Alphabet, backing bold founders in transformative technology companies across AI, life sciences, enterprise, frontier technology, and healthcare. They focus on high-potential, disruptive startups, providing both capital and strategic guidance.",Harvey; Hebbia; Synthesia; Metaview; Vercel; OpenEvidence; Thinking Machines,"Vidu Shanmugarajah (General Partner, Europe); Sangeen Zeb (Partner, AI/Unicorns); Tom Hulme (General Partner)","Large, highly competitive fund; high bar for investment.; Strategic alignment required for selection among top AI companies.","Vidu Shanmugarajah appointed as new General Partner ([8]); Led $35M Series B in Metaview ([7]); Sangeen Zeb's recent investments in AI unicorns (e.g., Harvey, Thinking Machines, OpenEvidence, Vercel) ([6])",https://www.gv.com/portfolio; https://www.gv.com/ai; https://fortune.com/2025/09/24/gv-sangeen-zeb-on-investing-in-ai-unicorns-like-harvey-thinking-machines-openevidence-vercel/; https://www.unleash.ai/hr-technology/google-ventures-leads-35-million-series-b-funding-in-metaview/; https://www.gv.com/news/vidu-shanmugarajah-general-partner,Exploring Strategic Partnership: Runcible & GV,"Dear GV Team,  AI is rapidly transforming high-stakes industries, but questions around governance, auditability, and truthfulness persist—especially in finance, healthcare, defense, and government. At Runcible, we’re building the Governance Layer for AI: a platform for truth-constrained, auditable, and ethical AI grounded in the Natural Law Institute’s science of decidability.  We envision a partnership with GV where our expertise in AI governance aligns with your track record of scaling category-defining technologies. Together, we can shape standards for responsible AI and unlock new value for the ecosystem—all while serving critical sectors striving for trust and transparency.  We’re currently raising a $20-30M round and would be honored to explore how Runcible and GV could create meaningful impact through partnership. ",Would you be available for a brief call to explore partnership opportunities?
General Catalyst,vc,medium,$10M–$400M+ (recent deals and new $8B fund enable large late-stage investments; Series B and growth rounds at $20–$30M are well within their range),"General Catalyst is a leading venture capital firm with a focus on transformational technologies, empowering founders to build enduring companies. Their recent Fund XII signals ongoing commitment to bold ventures, and their activity demonstrates a strong interest in AI, enterprise, healthcare, and frontier innovation. They seek to back platforms shaping critical industries and take a long-term perspective on responsible company-building.",Together AI; 1001 AI; CookUnity; Radial,"Neeraj Arora (AI investor, General Catalyst portfolio); Yuri Sagalov (AI investor, General Catalyst portfolio); Nat Levy-Westhead (AI investor, General Catalyst portfolio)","No listed public focus on AI governance, safety, or explicit ethical oversight frameworks.; Somewhat generalist approach—strong in AI, but not yet leading public proponents of AI governance.","Closed Fund XII with $8B in new capital for continued aggressive venture activity [3]; Active lead investor in recent AI and healthcare deals, such as Together AI, 1001 AI, Radial [4], [5], [7]; Ranked as a top active VC in 2025 with significant sector breadth [2]; Led or participated in large growth rounds, e.g., $250M in CookUnity [8], $50M in Radial [7]",https://www.generalcatalyst.com/stories/fundxii; https://news.crunchbase.com/venture/general-catalyst-raises-new-capital/; https://www.generalcatalyst.com/portfolio; https://www.generalcatalyst.com/companies/1001-ai; https://www.generalcatalyst.com/stories/our-investment-in-together-ai; https://news.crunchbase.com/venture/busiest-investors-q2-2025-accel-general-catalyst/; https://www.techcompanynews.com/cookunity-secures-250-million-from-general-catalyst/; https://www.prnewswire.com/news-releases/radial-launches-with-50-million-to-expand-access-to-advanced-brain-medicine-302637002.html,Series A: Runcible — The Governance Layer for AI (Market Timing & Team),"Hi General Catalyst Team,  I'm reaching out to introduce Runcible, where we're building the governance layer for AI in high-stakes domains like finance, healthcare, defense, and government. Our world is rapidly moving towards deep AI integration, but the need for auditable, truth-constrained, and ethical systems is more urgent than ever.  Runcible is uniquely positioned: we leverage Natural Law Institute science to deliver fully decidable, trustworthy AI, at a moment when regulatory and market demand are converging. Our team combines deep technical expertise and proven execution, and we've seen accelerating traction as institutions recognize the necessity of our approach.  We're currently raising a $20-30M Series A and would love to explore ways to partner with General Catalyst as we accelerate growth. Are you the right person to discuss this, or is there someone else on your team who focuses on transformative AI platforms like ours?  Thank you for your time and consideration.",Would you be open to a quick call next week to dive deeper into Runcible’s growth and how we see this market evolving?
Goldman Sachs Growth,vc,medium,$10-100M+ (commonly $20-50M in late Series B and growth rounds),"Backs high-growth, category-leading technology companies with global enterprise potential. Strong focus on enterprise, fintech, SaaS, and sectors benefiting from digital transformation. Leverages Goldman Sachs' strategic resources, network, and capital markets access to drive growth.",Candex,,,"2025: Goldman Sachs announces multi-billion dollar acquisition of Industry Ventures, expanding its private capital platform.; 2023: GS Growth led $45M Series B in Candex (enterprise spend management platform).",https://growth.gs.com/press; https://www.goldmansachs.com/pressroom/press-releases/2025/goldman-sachs-announces-acquisition-of-industry-ventures; https://www.cnbc.com/2025/10/13/goldman-sachs-agrees-to-acquire-7-billion-vc-firm-industry-ventures-.html; https://www.linkedin.com/posts/harveyesq_goldman-sachs-just-paid-1b-for-industry-activity-7383910108126359552-u8jg,Exploring Strategic Partnership: The Governance Layer for AI in High-Stakes Industries,"Dear Goldman Sachs Growth Team,  I’m reaching out to introduce you to Runcible, a company building 'The Governance Layer for AI' for sectors where truth, auditability, and ethics are paramount—finance, healthcare, defense, and government.  AI’s growing role in these verticals brings profound governance and risk challenges. Our platform, rooted in the Natural Law Institute’s science of decidability, enables organizations to deploy AI systems that are inherently truth-constrained, auditable, and ethically grounded.  We see a significant opportunity for mutual value creation: partnering to set a new standard for AI governance and safety, aligning with Goldman Sachs Growth’s commitment to responsible innovation in critical markets. Runcible is raising $20–30M to accelerate this mission, and we believe a partnership with Goldman Sachs Growth would be transformative for both sides.  Would you be open to an exploratory conversation about defining the future of trustworthy AI together?","Please let us know a convenient time to connect, or if there’s someone best suited for this discussion on your team."
Greylock Partners,vc,high,"$10M–$50M (typical), $20-30M is in-scope for growth/Series B+","Greylock Partners is an early-stage and growth venture capital firm focused on building and scaling breakthrough technology companies across AI, cybersecurity, infrastructure, SaaS, and consumer/enterprise. Greylock places emphasis on foundational technology, responsible AI, and large platform opportunities.",Airbnb; Facebook (Meta); LinkedIn; Workday; Roblox; Discord; Mandolin (AI Healthcare); AirOps (AI Growth infra),Greylock early-stage founder program participants; Their AI/cybersecurity/infrastructure investment partners,"Highly selective and competitive process; Preference for earlier stages, but participates in growth rounds","Raised $1B 17th fund (2023-10); Launched Fund 17 Early-Stage Founders Program; Invested in Mandolin (AI for Healthcare, 2025); Launched AirOps (AI Growth Infrastructure, 2025)",https://greylock.com/firm-news/announcing-greylock-17/; https://techcrunch.com/2023/10/03/greylock-1b-venture-capital-founders-program/; https://greylock.com/portfolio-news/mandolin-ai/; https://greylock.com/portfolio-news/introducing-airops-the-system-of-action-for-organic-growth/; https://greylock.com/cybersecurity/,Runcible: The Governance Layer for AI – Series A Opportunity,"Hi Greylock Partners,  AI's rapid adoption in high-stakes sectors – finance, healthcare, government, defense – has outpaced trust and oversight. Runcible solves this with a truth-constrained, auditable, and ethical governance layer for AI, rooted in the Natural Law Institute's science of decidability.  Timing is critical: regulatory frameworks and enterprise leaders demand trust in AI now. Our team combines deep AI architecture and governance expertise, and we're scaling fast with multiple pilots in key sectors.  We're currently raising $20–30M to accelerate growth and meet demand. I'd appreciate the chance to discuss how Runcible's mission aligns with Greylock's thesis and how we can partner to shape ethical AI infrastructure. ",Are you available for a 30-minute call in the next two weeks to explore this opportunity?
Hitachi Ventures,vc,medium,Likely $1M–$10M per company (as CVC; latest fund is $400M spanning many investments; direct check size not publicly listed in results).,"Hitachi Ventures is a corporate venture arm of Hitachi Group investing in pioneering technology companies, particularly in healthcare, environment, and future social business domains. Recent activity (2025) includes establishing a $400M fund focused on technology turning points such as AI, energy, and industrial applications.","Portfolio companies not all listed in search, but their focus areas (per website and TechCrunch) include digital, AI, industrial, environment, and healthcare innovators. No explicit AI governance company found in top links, but AI and enterprise tech are within scope.","Hitachi Ventures Munich office (corporate VC, Europe-focus); Corporate venturing unit at Hitachi Group; Potential connections via Hitachi portfolio companies",,"2025: Raised $400M for new fund to invest in technology turning points including AI, energy, and industrial sectors (TechCrunch: https://techcrunch.com/2025/02/04/hitachi-ventures-raises-400m-fund-to-invest-in-everything-from-fusion-to-ai/); Active investor in environment, digital, industrial, and healthcare breakthrough companies (hitachi-ventures.com); Over 48 investments, 2 exits (per PitchBook: https://pitchbook.com/profiles/investor/439893-10)",https://www.hitachi-ventures.com/; https://pitchbook.com/profiles/investor/439893-10; https://techcrunch.com/2025/02/04/hitachi-ventures-raises-400m-fund-to-invest-in-everything-from-fusion-to-ai/; https://www.hitachi-ventures.com/portfolio-environment/,Strategic Partnership Opportunity: Auditable & Truth-Constrained AI for High-Stakes Applications,"Dear Hitachi Ventures Team,  I’m reaching out to explore a strategic partnership between Hitachi Ventures and Runcible as we build 'The Governance Layer for AI.'  With AI’s rapid adoption in high-stakes sectors like finance, healthcare, defense, and government, there’s a growing need for solutions that ensure truth-constrained, auditable, and ethical AI—especially where failures have profound consequences. Runcible was created to address this, applying science from the Natural Law Institute to bring decidability and robust governance to AI systems.  We believe that, together, we can accelerate responsible AI adoption and set new standards for safety and accountability in critical domains. Our shared vision for trustworthy technological advancement positions us to create significant and mutual long-term value, both strategically and commercially.  We are currently raising $20–30M and are selectively seeking partners who share our ethos and ambition.",Would you be open to a brief call to discuss how a partnership could unlock strategic opportunities for both Runcible and Hitachi Ventures?
IVP,vc,medium,"$20M–$100M+ (typical lead/large checks at Series B, C, D/growth stage)","IVP is a leading venture capital firm focused on supporting high-growth technology companies. They are active in growth-stage investments with a focus on enterprise software, AI, consumer, fintech, healthcare, infrastructure, and related sectors. IVP seeks companies driving next-generation productivity, with AI as a focal area for platform shift and value creation.",LangChain; Lumafield; GitHub; UiPath; Datadog; Coinbase; Slack; Snap; Discord; Dropbox,"Founders/leaders of LangChain; Portfolio co-investors in enterprise AI (Datadog, UiPath); Growth-stage VCs in shared rounds",Generalist/growth focus—may lack deep AI governance/safety specialty; Portfolio includes some consumer/fintech without governance focus,LangChain raised $100M led by IVP at a $1.1B valuation (Jul 2025).; Lumafield secured $75M Series C led by IVP (Mar 2025).,https://www.ivp.com/; https://www.ivp.com/topic/artificial-intelligence/; https://www.ivp.com/portfolio/; https://vc-mapping.gilion.com/vc-firms/ivp; https://venturecapital.com/headlines/funding-events/lumafield-secures-75m-series-c-funding-led-by-ivp-v1; https://www.techmeme.com/250709/p42,Runcible: Unlocking Trustworthy AI Governance for High-Stakes Sectors,"Hi IVP Team,  I’m reaching out to introduce Runcible, the governance layer for AI, as we begin raising our Series A ($20–30M).  AI deployment in finance, healthcare, defense, and government faces unprecedented risks—ranging from regulatory scrutiny to existential trust gaps. Runcible addresses this by enabling truth-constrained, auditable, and ethical AI—built on the Natural Law Institute’s science of decidability. Our mission: empower organizations to move fast with confidence—even in the most high-stakes environments.  We believe now is the inflection point for robust AI governance—before regulation and public sentiment tip the scales. Our experienced, interdisciplinary team has shipped in both regulated enterprise and frontier research settings, positioning us to lead this category.  Would you be open to a short call to explore how Runcible could align with IVP’s thesis on technology platforms and category-defining teams? ",Let me know when you would be available for a brief intro conversation.
