Name,Type,AI Governance Fit,Check Size,Subject Line
"C5 Capital","vc","high","$10M–$50M (estimated from leading $52M round per [4])","Unlocking Ethical AI Governance: Series A Opportunity with Runcible"
"SineWave Ventures","vc","high","Series A/B; $5M-$15M typical, sometimes leads $10M+ rounds","Introducing Runcible: The Governance Layer for AI – Series A Opportunity"
"DataTribe","vc","medium","$2-5M initial (seed, Series A)","Introducing Runcible: Building the Governance Layer for Ethical, Auditable AI"
"SoftBank Vision Fund","vc","medium","Typically $100M+ for growth, but has participated in rounds as low as $20-30M for early/mid-stage AI/infra bets.","Series A Opportunity: Runcible – The Governance Layer for AI"
"Temasek Holdings","strategic","high","Typically $10M–$200M+; $20–30M is within their possible range for strategic or growth-stage deals.","Unlocking Trusted AI for High-Stakes Industries: Runcible Series A Opportunity"
"Mubadala Investment Company","vc","medium","$10M-$100M+ (typical range for Mubadala and Mubadala Capital rounds, Series B and beyond; invested $150M in Anaconda’s round with others [6])","Introducing Runcible: The Governance Layer for AI – Series A Opportunity"
"Saudi Public Investment Fund","strategic","medium","$10M–$5B+ (PIF regularly writes large checks; in tech/VC, $10M–$500M+ is typical; $20–30M fits in this range)","Introducing Runcible: The Governance Layer for Ethical AI in High-Stakes Sectors"
"European Investment Fund","vc","medium","€30M–€260M+ as anchor LP; indirect portfolio company checks likely range €5–50M via partnered funds","Introducing Runcible: The Governance Layer for AI – Series A Opportunity"
"UK Infrastructure Bank","strategic","medium","£10m–£500m+ (majority of deals >£100m, but sometimes participates in catalytic minority rounds)","Series A Opportunity: Runcible—Governance Layer for Ethical AI in Critical Sectors"
"Bpifrance","vc","high","Varies; typically €1M-€50M+ in venture, growth, and strategic rounds","Introducing Runcible: The Governance Layer for AI – Series A Opportunity"
"Korea Investment Corporation","strategic","medium","Typically $100-200M commitments to fund managers; direct company checks uncommon/unclear","Series A Opportunity: Auditable AI Governance for High-Stakes Sectors"
"Zetta Venture Partners","vc","medium","Typically $1M-$10M at seed/early-stage; potential for follow-on","Series A Opportunity: Auditable & Ethical AI Governance — Runcible x Zetta Venture Partners"
"BootstrapLabs","vc","medium","Seed and Series A; often first institutional money; $0.5–5M typical range historically (precise current range unclear)","Market Timing & Growth: Runcible’s Governance Layer for AI – Series A Introduction"
"DCVC","vc","high","Typically from $5M in seed to $100M+ in growth and later-stage rounds; frequently leads/co-leads $20-50M+ rounds in deep tech/AI/bio.","Runcible: Transforming High-Stakes Decision-Making with Auditable AI"
"Radical Ventures","vc","medium","$5M–$50M+ (avg ~$47M, per source [5]; recently closed a $650M fund, so can back $20–30M rounds for high-conviction deals)","Introducing Runcible: The Governance Layer for Ethical, Decidable AI"
"Air Street Capital","vc","high","$500K–$5M+","Runcible: The Governance Layer for AI – Series A Partnership Opportunity"
"Conviction Partners","vc","medium","$1M–$25M","Runcible: The Governance Layer for AI—Series A Opportunity"
"GV Google Ventures","vc","high","$5M–50M+ (recent: $35M Series B in Metaview)","Exploring Strategic Partnership: Runcible & GV"
"Microsoft M12","vc","high","$10M-$30M+","Exploring Strategic Partnership: Runcible & Microsoft M12 for Trusted AI in High-Stakes Sectors"
"Qualcomm Ventures","strategic","medium","$5M-$25M (est.; larger in select growth or strategic rounds)","Exploring Strategic Partnership: Runcible – The Governance Layer for AI"
"Nvidia Ventures","strategic","medium","Estimated $10M–$50M (varies)","Exploring Strategic Partnership Opportunities: Runcible x Nvidia Ventures"
"AMD Ventures","strategic","medium","Not explicitly stated; typically participates in multi-million dollar rounds from Seed to late-stage (Classiq up-round, etc.)","Unlocking Strategic Value: Partnership Opportunity with Runcible, the Governance Layer for AI"
"Dell Technologies Capital","vc","medium","$5M-$20M+ (est.); $20-30M may be at the upper end of their typical range, but not implausible for standout deals.","Exploring Strategic Partnership: Runcible & Dell Technologies Capital"
"ServiceNow Ventures","strategic","medium","Not explicitly stated; ServiceNow Ventures committed $1B to deploy by 2026 and typically targets high-growth early to scale-stage companies, potentially in the $5-40M investment range per round.","Exploring Strategic Partnership: Runcible & ServiceNow Ventures"
"SAP.iO","strategic","medium","Typically Seed/Series A, estimated $500K–$5M (not directly disclosed)","Strategic Collaboration Opportunity: Advancing Ethical AI Governance with SAP.iO"
"Workday Ventures","strategic","high","$5-20M typical; may participate in $20-30M rounds","Exploring a Strategic Partnership: Runcible x Workday Ventures for Ethical AI Governance"
"Salesforce Ventures","strategic","high","$5M - $50M+ (for AI/enterprise rounds, based on fund size and activity)","Exploring Strategic Partnership: Ethical AI Governance for High-Stakes Industries"
"Atlassian Ventures","strategic","medium","$250k–$5M (estimated, primarily seed and Series A; may vary for strategic investments)","Exploring a Strategic Partnership: Runcible x Atlassian Ventures"
"Samsung NEXT","vc","medium","$1-10M typical; may lead or follow in rounds up to $20M+","Exploring a Strategic Partnership: Advancing Ethical & Auditable AI Together"
"SK Telecom Ventures","vc","medium","Typically $10M-$20M+; reported US$14.8M for AI agent company TimeTree (2025)","Exploring Strategic Partnership: Runcible’s Governance Layer for AI"
"Hitachi Ventures","vc","medium","Likely $1M–$10M per company (as CVC; latest fund is $400M spanning many investments; direct check size not publicly listed in results).","Strategic Partnership Opportunity: Auditable & Truth-Constrained AI for High-Stakes Applications"
"Goldman Sachs Growth","vc","medium","$10-100M+ (commonly $20-50M in late Series B and growth rounds)","Exploring Strategic Partnership: The Governance Layer for AI in High-Stakes Industries"
"Citigroup Ventures","strategic","medium","Typically $2M-$20M with flexibility for strategic opportunities; may participate in larger rounds as a co-investor (estimate based on standard CVC patterns and the size of referenced deals).","Exploring Strategic Partnership: Advancing Ethical AI Governance with Citigroup Ventures"
"Capital One Ventures","strategic","medium","Varies, but typically Series A-C ($5M-$30M+ range)","Exploring a Strategic Partnership: Runcible x Capital One Ventures – Shaping Ethical AI in High-Stakes Sectors"
"American Express Ventures","strategic","medium","$3M-$20M (typical range for U.S. CVCs; exact figure not publicized)","Exploring Strategic Partnership: Runcible—The Governance Layer for AI"
"Munich Re Ventures","vc","medium","$2-20M (historically), but now unlikely to write new checks","Strategic Partnership Opportunity: The Governance Layer for AI"
"Swiss Re Strategic Ventures","strategic","medium","~$5M–$30M (typical CVC round size; aligns to target)","Exploring a Strategic Partnership: Runcible & Swiss Re Strategic Ventures on Trustworthy AI Governance"
"Aon Ventures","strategic","medium","Not clearly stated. Aon Advantage Funds seeks growth-stage investments typically in the $10M-$50M deal size range, which matches your $20-30M target.","Exploring a Strategic Partnership: Runcible & Aon Ventures"
"Marsh McLennan Ventures","strategic","medium","Unknown; no evidence of startup investment activity or typical check size.","Exploring a Strategic Partnership: The Governance Layer for AI in High-Stakes Sectors"
"Bank of America Ventures","strategic","high","Varies; often anchor LP investments or major co-investor in $10M-$100M+ funds. Direct check size seldom disclosed for single companies but can be significant for strategic priorities.","Exploring Strategic Partnership: Governance Layer for Responsible AI in Finance"
"JPMorgan Chase Strategic Investments","strategic","high","$10M+ (likely much higher for strategic fits; can co-lead large rounds)","Exploring Strategic Partnership: Auditable AI Governance for Financial Innovation"
"Morgan Stanley Tactical Value","vc","medium","$20M–$50M+","Strategic Partnership Opportunity: Advancing Auditable AI Governance"
"Visa Ventures","strategic","high","$1M-$10M typical; higher for select companies (e.g., $10M+ in late-stage or strategic bets)","Exploring Strategic Partnership: Runcible x Visa Ventures"
"Mastercard Start Path","strategic","medium","Seed to Series A (check sizes not always disclosed; typically accelerators provide non-dilutive grants or small equity checks, estimated $50k–$500k+ range, but larger strategic follow-ons possible)","Exploring Strategic Partnership: Runcible x Mastercard Start Path"
"Deloitte Ventures","strategic","medium","$1-5M (historically; can participate in larger syndicated rounds, but specific $20-30M lead capacity is not confirmed)","Strategic Partnership Opportunity: The Governance Layer for AI"
"PwC Ventures","strategic","high","Unknown; typically strategic corporate investments, likely $5M-$50M range","Exploring Strategic Partnership: Runcible x PwC Ventures"
"EY Foundry","strategic","high","Undisclosed; likely seed/early-stage (typical for corporate accelerators)","Exploring a Strategic Partnership: EY Foundry & Runcible—The Governance Layer for AI"
"KPMG Lighthouse","strategic","high","N/A (acts as strategic partner, not a venture fund)","Strategic Partnership Opportunity: The Governance Layer for AI"
"Khosla Ventures","vc","medium","$10M–$75M+ (Series A and growth rounds); recent AI and automation rounds led in the $20M–$86M range.","Introducing Runcible – The Governance Layer for AI (Series A Opportunity)"
"General Catalyst","vc","medium","$10M–$400M+ (recent deals and new $8B fund enable large late-stage investments; Series B and growth rounds at $20–$30M are well within their range)","Series A: Runcible — The Governance Layer for AI (Market Timing & Team)"
"Spark Capital","vc","medium","$5–30M+ (typical for growth/Series A-C, can lead rounds in high-growth companies—recent example: Underdog $1.2B valuation Series C)","Runcible: The Governance Layer for AI – Series A Opportunity"
"IVP","vc","medium","$20M–$100M+ (typical lead/large checks at Series B, C, D/growth stage)","Runcible: Unlocking Trustworthy AI Governance for High-Stakes Sectors"
"SignalFire","vc","medium","$1M-$20M (seed and early growth stage); can participate up to $30M+ in follow-ons ([PitchBook](https://pitchbook.com/news/articles/signalfire-raises-1b-ai-venture-capital))","Introducing Runcible: The Governance Layer for AI – Series A Opportunity"
"Tiger Global","vc","medium","$10M–$100M+ (typically $20M–$50M for growth/late-stage, but flexible based on deal size)","Runcible: The Governance Layer for AI – Series A Opportunity"
"Y Combinator","vc","medium","$500k–$2M+ (initial checks, sometimes higher for later stages or follow-ons)","Series A Opportunity: Runcible—The Governance Layer for AI"
"Entrepreneur First","vc","medium","Pre-seed/seed: typically $100k-$250k at company formation; follow-on possible up to $2M. Portfolio companies routinely raise $10M-$30M+ with EF participation (see Spore.Bio $23M Series A).","Introducing Runcible: Empowering Ethical AI Governance – Series A Opportunity"
"Vista Equity Partners","vc","medium","Tens of millions to multi-billion (recent $20–50M+ up to $1B+ possible); $20–30M within lower end of their scope","Runcible: The Governance Layer for AI—Series A Opportunity"
"Thoma Bravo","vc","medium","Typically $20M-$100M+; recent growth deals >$100M; large buyouts $1B+","Series A Opportunity: Runcible—the Governance Layer for Ethical AI"
"Blackstone","vc","medium","$100M+ (typically large growth or buyout investments)","Runcible: The Governance Layer for Ethical AI - Series A Outreach"
"Warburg Pincus","vc","high","$20M–$500M+ (growth to large PE deals)","Introducing Runcible: Series A Opportunity in AI Governance for High-Stakes Markets"
"EQT","vc","high","~$20M to $500M+ (typical venture/growth checks, recent $500M+ leading round)","Introducing Runcible: Building the Governance Layer for Ethical AI in High-Stakes Environments"
"Jensen Huang","strategic","medium","$10M - $1B+ (strategic focus; direct personal checks less frequent and at higher scale)","Request for Introduction: Runcible - The Governance Layer for AI"
"Demis Hassabis","angel","medium","Personal angel checks likely low millions; founder/strategic roles in nine-figure rounds (e.g., $600M+ Isomorphic Labs, Forward Series E).","Seeking Advice: Introduction for Runcible’s Governance AI Fundraise"
"Sam Altman","angel","medium","$250k–$10M (varies—smaller angel in some rounds; led/participated in large deals via OpenAI connections)","Seeking Introduction: Runcible - The Governance Layer for AI"
"Nat Friedman","angel","medium","$500k–$5M+","Introducing Runcible: Building the Governance Layer for Ethical AI"
"Daniel Gross","angel","medium","$100k to $5M (most typically sub-$1M as angel, can syndicate larger rounds with co-investors)","Angel Opportunity: Help Build the Governance Layer for Ethical AI"
"Peter Thiel","vc","medium","$5M–$50M+ (varies widely; Founders Fund often leads large rounds, especially for frontier tech)","Runcible: Building the Governance Layer for AI – Invitation to Invest"
"Marc Andreessen","vc","medium","$10M–$500M+ (recent AI deals as high as $2B+ rounds; $20–30M is a standard Series A/B for a16z in AI/enterprise in 2024–2025)","Marc – Backing the Governance Layer for Ethical AI"
"Reid Hoffman","vc","high","$1M-$25M+ (varies – individually as an angel and with Greylock as VC lead on major rounds)","Invitation: Building the Governance Layer for Ethical AI—Angel Opportunity"
"Tom Preston-Werner","vc","medium","Likely $1-5M+ at pre-seed/seed (leading or co-leading rounds from $100M fund)","Invitation: Help Build the Governance Layer for Ethical AI"
"Jeremy Howard","angel","high","$250k–$5M (as an angel/co-lead or syndicate participant); may bring in VC connections for larger rounds","Building Truth-Constrained AI for High-Stakes Impact — Invitation to Join Runcible’s Angel Round"
"Patrick Collison","angel","medium","Typically early-stage angel checks; likely $100K-$2M. For later/larger rounds he may co-invest or syndicate with other top angels or funds.","Runcible: Building the Governance Layer for Ethical AI"
"Matt Clifford","vc","high","$125k-$2M (typical for EF; larger syndication possible with EF alumni network)","Seeking warm introduction: Runcible – The Governance Layer for AI"
"Ian Hogarth","vc","high","£1M–20M+ (led £17M round; recent $432M fund)","Request for Introduction: Runcible - The Governance Layer for AI"
"Naval Ravikant","angel","medium","$50K–$500K","A New Governance Layer for AI: Runcible’s Mission & Opportunity"
"Elad Gil","angel","medium","$1M-$20M+; sometimes leads much larger rounds for select companies (e.g. $300M for Eon)","Building the Governance Layer for AI: Runcible Angel Opportunity"
"Cyan Banister","vc","high","$500K to $5M (typical for early-stage, can flex higher for winners) (Fund size: $181.8M)","Empowering Ethical AI Governance – Invitation to Join Runcible's Mission"
"Balaji Srinivasan","angel","medium","Varies; typical angel investments historically range from $25k to $1M+. Balaji may syndicate or participate in larger rounds, especially in crypto web3/scaling rounds.","Introducing Runcible: The Governance Layer for AI"
"Kevin Mahaffey","vc","high","$100K–$2M+ (seed/pre-seed, higher via SNR.vc for select opportunities)","Building Ethical AI for Society’s Critical Decisions — Invitation to Join Runcible’s Mission"
